"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.819029583E0,7.194039917E-1,3.708837433E0,8.870553589E0
1.829075583E0,6.945556641E-1,3.716022491E0,8.793314209E0
1.839122583E0,6.670129395E-1,3.711382141E0,8.779243469E0
1.849169583E0,6.459068298E-1,3.672463074E0,8.828940125E0
1.859215583E0,6.348298645E-1,3.594325562E0,8.957073669E0
1.869262583E0,6.689588928E-1,3.531605988E0,9.074429626E0
1.879308583E0,7.003935242E-1,3.503913574E0,9.256900177E0
1.889355583E0,6.894662476E-1,3.499422913E0,9.421108704E0
1.899402583E0,7.002438354E-1,3.467838593E0,9.373657379E0
1.909448583E0,6.494993591E-1,3.474424896E0,9.312584381E0
1.919495583E0,6.361770630E-1,3.485202484E0,9.233548737E0
1.929541583E0,7.021897888E-1,3.503015442E0,9.205407257E0
1.939588583E0,7.918533325E-1,3.570824432E0,9.215286713E0
1.949634583E0,8.072712708E-1,3.596720581E0,9.199120331E0
1.959681583E0,7.670050049E-1,3.522025909E0,9.110803986E0
1.969728583E0,7.469467163E-1,3.519481201E0,8.988358612E0
1.979774583E0,7.825726318E-1,3.566034393E0,8.888665924E0
1.989821583E0,8.009843445E-1,3.633394318E0,8.857979736E0
1.999867583E0,8.291258240E-1,3.625011749E0,8.960516510E0
2.009914583E0,7.946974182E-1,3.555705872E0,9.067394257E0
2.019961583E0,7.587721252E-1,3.526366882E0,9.144483948E0
2.030007583E0,7.264393616E-1,3.481011200E0,9.192234650E0
2.040054583E0,7.696994019E-1,3.446433105E0,9.281299438E0
2.050100583E0,8.780740356E-1,3.467838593E0,9.308991852E0
2.060147583E0,9.017248535E-1,3.554508362E0,9.163793793E0
2.070193583E0,8.333171082E-1,3.621119843E0,8.999136200E0
2.080240583E0,7.661068726E-1,3.590583344E0,8.907975769E0
2.090287583E0,7.776329041E-1,3.541635132E0,8.961414642E0
2.100333583E0,8.066725159E-1,3.513493652E0,9.002429352E0
2.110380583E0,8.135581970E-1,3.585044861E0,9.081464996E0
2.120426583E0,8.711883545E-1,3.600313110E0,9.200617218E0
2.130473583E0,8.710386658E-1,3.588487701E0,9.294022980E0
2.140519583E0,8.071215820E-1,3.530258789E0,9.287436676E0
2.150566583E0,7.587721252E-1,3.462599487E0,9.216484222E0
2.160613583E0,7.200027466E-1,3.482508087E0,9.138646088E0
2.170659583E0,7.294331360E-1,3.540287933E0,9.073381805E0
2.180706583E0,7.599696350E-1,3.598067780E0,9.027876434E0
2.190752583E0,7.770341492E-1,3.606749725E0,9.082063751E0
2.200799583E0,7.921527100E-1,3.582200775E0,9.214238892E0
2.210846583E0,7.882608032E-1,3.536545715E0,9.281000061E0
2.220892583E0,7.420069885E-1,3.452121277E0,9.278305664E0
2.230939583E0,7.497908020E-1,3.407214661E0,9.264384613E0
2.240985583E0,7.949967957E-1,3.419489136E0,9.270970917E0
2.251032583E0,8.610095215E-1,3.479065247E0,9.136400757E0
2.261078583E0,9.036708069E-1,3.547922058E0,8.997938690E0
2.271125583E0,9.222322083E-1,3.612288208E0,9.001381531E0
2.281172583E0,8.791218567E-1,3.578458557E0,9.035959625E0
2.291218583E0,7.834707642E-1,3.513643341E0,9.075028381E0
2.301265583E0,7.604187012E-1,3.460204468E0,9.044491882E0
2.311311583E0,7.469467163E-1,3.494632874E0,8.986712036E0
2.321358583E0,7.622149658E-1,3.561992798E0,9.001231842E0
2.331405583E0,8.023315430E-1,3.562441864E0,9.048084412E0
2.341451583E0,8.153544617E-1,3.523522797E0,9.092092896E0
2.351498583E0,8.087681580E-1,3.512146454E0,9.109456787E0
2.361544583E0,8.617579651E-1,3.523971863E0,9.083860016E0
2.371591583E0,8.379574585E-1,3.567231903E0,9.176816711E0
2.381637583E0,8.292755127E-1,3.524720306E0,9.286239166E0
2.391684583E0,8.183482361E-1,3.449426880E0,9.292675781E0
2.401731583E0,8.443940735E-1,3.440744934E0,9.282646637E0
2.411777583E0,8.511300659E-1,3.510649567E0,9.320517883E0
2.421824583E0,8.614585876E-1,3.530857544E0,9.228309631E0
2.431870583E0,8.325686646E-1,3.534001007E0,9.188791809E0
2.441917583E0,7.385641479E-1,3.492686920E0,9.215586090E0
2.451964583E0,7.020401001E-1,3.424578552E0,9.147028656E0
2.462010583E0,7.457492065E-1,3.437002716E0,9.108109589E0
2.472057583E0,8.258326721E-1,3.510200500E0,9.074279938E0
2.482103583E0,9.159452820E-1,3.600163422E0,8.968300323E0
2.492150583E0,9.294172668E-1,3.644022217E0,8.895701294E0
2.502196583E0,8.849597168E-1,3.623065796E0,8.874595184E0
2.512243583E0,8.696914673E-1,3.579656067E0,8.947044525E0
2.522290583E0,8.107141113E-1,3.536096649E0,8.992849274E0
2.532336583E0,7.926017761E-1,3.504212952E0,9.065897369E0
2.542383583E0,7.955955505E-1,3.505260773E0,9.131311340E0
2.552429583E0,8.611592102E-1,3.513493652E0,9.121880951E0
