"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.290309564E2,6.499967268E1,2.546711539E1,9.294617848E0,1.309731730E0,1.059140561E1,3.614552943E0,4.676045344E0
1.300309625E2,6.499968364E1,2.546713060E1,9.274905103E0,1.298582487E0,1.731069524E1,3.653175678E0,4.513447138E0
1.310309685E2,6.499969639E1,2.546714669E1,9.224837078E0,1.329097894E0,2.171897390E1,3.683916462E0,4.429001120E0
1.320309755E2,6.499971277E1,2.546715478E1,9.101440487E0,1.464106673E0,1.654526086E1,4.053988050E0,4.786893758E0
1.330309803E2,6.499972700E1,2.546715458E1,8.464424258E0,1.454732846E0,9.778903377E0,4.264341329E0,5.019205408E0
1.340309855E2,6.499974009E1,2.546715589E1,8.244016008E0,1.435904142E0,4.728051031E0,4.331997798E0,4.869389396E0
1.350309899E2,6.499975184E1,2.546714282E1,7.008088414E0,1.415316707E0,3.501157397E2,4.636442638E0,5.278275745E0
1.360309943E2,6.499976220E1,2.546714652E1,6.873254548E0,1.203624589E0,3.557980643E2,4.597133489E0,5.316181281E0
1.370309983E2,6.499977626E1,2.546715966E1,6.824723096E0,1.418120735E0,5.455310256E0,4.505912536E0,5.324027926E0
1.380310026E2,6.499978739E1,2.546717535E1,6.687401870E0,1.368329222E0,1.365544485E1,4.505589599E0,5.265987562E0
1.390310065E2,6.499979852E1,2.546720031E1,6.342531641E0,1.396112406E0,2.433162143E1,4.535098877E0,5.772643979E0
1.400310099E2,6.499981502E1,2.546719811E1,6.271117241E0,1.506754778E0,1.229903526E1,4.470728984E0,5.974434983E0
1.410310137E2,6.499982659E1,2.546719502E1,5.813399820E0,1.292326703E0,8.918846864E0,4.405985891E0,6.508123277E0
1.420310173E2,6.499984219E1,2.546720577E1,5.897329813E0,1.589364899E0,1.117785285E1,4.285686561E0,6.286967997E0
1.430310198E2,6.499985174E1,2.546721531E1,6.108662492E0,1.219069634E0,1.200592962E1,4.180369719E0,6.369441013E0
1.440310227E2,6.499986660E1,2.546722403E1,6.083382025E0,1.514471591E0,1.314496517E1,4.071351217E0,5.677639948E0
1.450310246E2,6.499987867E1,2.546722766E1,6.071335015E0,1.250568115E0,9.980766585E0,3.967783628E0,5.869233009E0
1.460310276E2,6.499989680E1,2.546723032E1,7.138403025E0,1.650437580E0,8.458306568E0,3.878474765E0,5.199633976E0
1.470310298E2,6.499990733E1,2.546723713E1,7.066603292E0,1.252564145E0,1.243925783E1,3.811215343E0,5.660377932E0
1.480310315E2,6.499992313E1,2.546723984E1,6.998224598E0,1.546681121E0,1.035595698E1,3.763209798E0,5.447965163E0
1.490310341E2,6.499993482E1,2.546724103E1,7.068884046E0,1.233316660E0,9.947542858E0,3.720147338E0,5.513488200E0
1.500310367E2,6.499995030E1,2.546724796E1,7.039546109E0,1.529526944E0,1.010031299E1,3.737072082E0,5.064146156E0
1.510310372E2,6.499996136E1,2.546725234E1,7.101079246E0,1.225052282E0,1.025606814E1,3.721842941E0,5.640223254E0
1.520310391E2,6.499997574E1,2.546726009E1,6.716204195E0,1.440146060E0,9.922556819E0,3.674317880E0,5.086576435E0
1.530310409E2,6.499998813E1,2.546726634E1,6.858297021E0,1.263992640E0,9.212857209E0,3.597930980E0,5.344786124E0
1.540310420E2,6.500000315E1,2.546727759E1,6.840867940E0,1.532587818E0,1.147142036E1,3.585744988E0,4.951809194E0
1.550310433E2,6.500001323E1,2.546728665E1,6.493966689E0,1.220309133E0,1.307490022E1,3.513440760E0,5.187238573E0
1.560310445E2,6.500002669E1,2.546729112E1,6.325662294E0,1.396655692E0,9.767833046E0,3.495790428E0,4.679682317E0
1.570310470E2,6.500003951E1,2.546729769E1,6.215260813E0,1.281931540E0,1.112092562E1,3.481482407E0,4.857208422E0
